"anAgeHorvathLabID","profiled","SpeciesLatinName","CommonNames","HAGRID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Common.name","Female.maturity..days.","Male.maturity..days.","Gestation.Incubation..days.","Weaning..days.","Litter.Clutch.size","Litters.Clutches.per.year","Inter.litter.Interbirth.interval","Birth.weight..g.","Weaning.weight..g.","Growth.rate..1.days.","Source","Specimen.origin","Sample.size","Data.quality","IMR..per.yr.","MRDT..yrs.","Metabolic.rate..W.","Body.mass..g.","Temperature..K.","References","PanTHERIA.ActivityCycle","PanTHERIA.AdultBodyMass_g","PanTHERIA.AdultForearmLen_mm","PanTHERIA.AdultHeadBodyLen_mm","PanTHERIA.AgeatEyeOpening_d","PanTHERIA.AgeatFirstBirth_d","PanTHERIA.BasalMetRate_mLO2hr","PanTHERIA.BasalMetRateMass_g","PanTHERIA.DietBreadth","PanTHERIA.DispersalAge_d","PanTHERIA.GestationLen_d","PanTHERIA.HabitatBreadth","PanTHERIA.HomeRange_km2","PanTHERIA.HomeRange_Indiv_km2","PanTHERIA.InterbirthInterval_d","PanTHERIA.LitterSize","PanTHERIA.LittersPerYear","PanTHERIA.MaxLongevity_m","PanTHERIA.NeonateBodyMass_g","PanTHERIA.NeonateHeadBodyLen_mm","PanTHERIA.PopulationDensity_n.km2","PanTHERIA.PopulationGrpSize","PanTHERIA.SexualMaturityAge_d","PanTHERIA.SocialGrpSize","PanTHERIA.TeatNumber","PanTHERIA.Terrestriality","PanTHERIA.TrophicLevel","PanTHERIA.WeaningAge_d","PanTHERIA.WeaningBodyMass_g","PanTHERIA.WeaningHeadBodyLen_mm","PanTHERIA.References","PanTHERIA.AdultBodyMass_g_EXT","PanTHERIA.LittersPerYear_EXT","PanTHERIA.NeonateBodyMass_g_EXT","PanTHERIA.WeaningBodyMass_g_EXT","PanTHERIA.GR_Area_km2","PanTHERIA.GR_MaxLat_dd","PanTHERIA.GR_MinLat_dd","PanTHERIA.GR_MidRangeLat_dd","PanTHERIA.GR_MaxLong_dd","PanTHERIA.GR_MinLong_dd","PanTHERIA.GR_MidRangeLong_dd","PanTHERIA.HuPopDen_Min_n.km2","PanTHERIA.HuPopDen_Mean_n.km2","PanTHERIA.HuPopDen_5p_n.km2","PanTHERIA.HuPopDen_Change","PanTHERIA.Precip_Mean_mm","PanTHERIA.Temp_Mean_01degC","PanTHERIA.AET_Mean_mm","PanTHERIA.PET_Mean_mm","maxanAge","weightanAge","maxAgeFromFolder","weightFromFolder","maxAgeCaesar","weightCaesar","averagedMaturity.yrs","Hibernation","SpeciesAbbreviation","PanTHERIA.MaxLongevity","MammalNumberHorvath","OrderNumberHorvath","FamilyNumberHorvath","SpeciesNumberHorvath","CancerMortalityRisk.Vinczeo2021","CumulativeIncidenceCancerMortality.Vincze2021","Diet..Animal.","Diet..Invertebrate.","Diet..Vertebrate.","Diet..Fish.","Diet..Reptile.","Diet..Bird."
1531,TRUE,"Echinops telfairi","Lesser hedgehog tenrec","1542","Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Echinops","telfairi","Lesser hedgehog tenrec",365,365,55,29,6,1,NA,7.67,50,0.0301,"671","captivity","medium","acceptable",NA,NA,0.75,116.4,307.85,"3,614,843,445,554,260,000,000,000,000,000,000,000",1,152.25,NA,160,8.5,NA,133.86,116.4,1,NA,62.54,2,NA,NA,NA,5.49,1,156,7.49,NA,NA,1,278.42,NA,NA,2,3,31.18,NA,NA,"543;886;1045;1160;1297;1822;2151;2655;2720;2786",NA,NA,NA,NA,61701.13,-19.69,-25.47,-22.58,46.68,43.22,44.95,2,15.04,3,0.19,57.94,236.45,801.62,1666.89,19,180,NA,NA,19,180,1,NA,"Ect",13,"13.2.1",13,2,1,0.0571428571428571,0.0246633938461045,1,1,1,0,0,0
1532,FALSE,"Geogale aurita",NA,"1543","Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Geogale","aurita","Large-eared tenrec",NA,NA,63,37,3.9,2,NA,0.7,NA,NA,"","unknown","small","low",NA,NA,0.043,6.9,303.95,"36,420,434,613,678",1,6.69,NA,71,23,NA,7.72,6.9,1,NA,57.64,1,NA,NA,NA,3.4,2,NA,0.71,NA,NA,1,NA,NA,NA,1,3,34.86,NA,NA,"899;1045;1822;2151;2333;2655;2720;2786",NA,NA,NA,NA,63241.93,-19.68,-25.42,-22.55,46.9,43.22,45.06,2,15.29,4,0.2,57.89,236.07,796.39,1668.12,NA,6.7,NA,NA,NA,6.7,NA,NA,"Gga",NA,"13.2.9",13,2,9,NA,NA,NA,NA,NA,NA,NA,NA
1533,TRUE,"Hemicentetes semispinosus","Lowland streaked tenrec","1544","Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Hemicentetes","semispinosus","Streaked tenrec",35,NA,59,21,4,2,NA,11.5,NA,NA,"671","captivity","small","questionable",NA,NA,0.38,116.4,308.15,"36,420,434,436,455,500,000,000,000,000",2,134,NA,175,9,NA,64.1,133,1,NA,53.07,2,NA,NA,NA,5.32,1.5,32.4,7.39,NA,NA,18,48.57,NA,NA,1,3,21.5,NA,NA,"543;886;1048;1160;1297;1822;1891;2151;2333;2655;2720;2723;2786",NA,NA,NA,NA,97855.43,-13.42,-25.2,-19.31,50.38,46.51,48.44,6,39.57,8,0.18,175.17,198.99,1342.17,1595.51,2.7,180,NA,NA,2.7,180,0.095890411,NA,"Hmcs",2.7,"13.2.2",13,2,2,NA,NA,NA,NA,NA,NA,NA,NA
1534,FALSE,"Microgale dobsoni",NA,"1545","Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Microgale","dobsoni","Dobson's shrew tenrec",669,669,61,29,2.67,NA,NA,3.95,NA,0.0266,"434","captivity","small","acceptable",NA,NA,0.315,44.6,304.05,"36,420,434,455,610,600,000",NA,36.66,NA,NA,NA,NA,41.92,44.6,1,NA,61.64,1,NA,NA,NA,2.66,NA,67.2,3.89,NA,NA,1,680.59,NA,NA,1,3,27.87,NA,NA,"543;886;1297;1822;2151;2333;2655;2720;2786",NA,NA,NA,NA,100500.66,-14.01,-23.12,-18.56,50.48,46.69,48.58,8,46.83,11,0.18,178.65,195.92,1337.07,1580.28,5.6,37.8,NA,NA,5.6,37.8,1.83287671232877,NA,"Mcrgldb",5.6,"13.2.10",13,2,10,NA,NA,NA,NA,NA,NA,NA,NA
1535,TRUE,"Nesogale talazaci","Talazac's shrew tenrec","1546","Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Nesogale","talazaci","Talazac's shrew tenrec",639,639,61,29,2,NA,NA,3.6,NA,0.0298,"434","captivity","small","acceptable",NA,NA,0.243,44,303.95,"36,420,434,455,731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,50,NA,NA,5.8,50,1.750684932,NA,"Nsgt",NA,"13.2.5",13,2,5,NA,NA,NA,NA,NA,NA,NA,NA
1536,TRUE,"Setifer setosus","Greater hedgehog tenrec","1547","Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Setifer","setosus","Greater hedgehog tenrec",198,258,54,24,3,1,NA,24.7,NA,0.0419,"671","captivity","medium","acceptable",NA,NA,0.573,427.6,305.35,"364,204,344,556,106,000,000,000,000,000",1,263.22,NA,185,12,NA,94.59,352.5,2,NA,57.63,1,NA,NA,NA,3.24,1.5,126,24.7,NA,NA,1,216.55,NA,10,1,2,25.22,NA,NA,"543;886;1045;1048;1160;1297;1822;1946;2151;2655;2720;2786",NA,NA,NA,NA,261594.46,-12.31,-25.6,-18.96,50.44,43.22,46.83,2,24.17,3,0.19,125.02,221.17,1093.42,1609.19,14.1,225,NA,NA,14.1,225,0.624657534,NA,"Stfs",10.5,"13.2.3",13,2,3,NA,NA,NA,NA,NA,NA,NA,NA
1537,TRUE,"Tenrec ecaudatus","Tailless tenrec","1548","Animalia","Chordata","Mammalia","Afrosoricida","Tenrecidae","Tenrec","ecaudatus","Tenrec",182,NA,58,27,18,1.5,NA,21,225,0.0445,"671","captivity","small","acceptable",NA,NA,0.729,650,306.15,"36,420,434,436,455,500,000,000,000,000,000",2,887.59,NA,327.5,NA,NA,287.32,1325,3,30.84,60.24,1,NA,NA,NA,16.89,1,75.6,24.24,NA,NA,1,206.92,NA,26,1,2,21.87,225,NA,"543;886;1045;1048;1297;1822;1946;2151;2333;2655;2720;2786",NA,NA,NA,NA,248061.27,-12.32,-25.59,-18.96,50.42,43.22,46.82,2,24.41,3,0.19,123.97,221.69,1092.74,1612.9,8.7,900,NA,NA,8.7,900,0.498630137,NA,"Tne",6.3,"13.2.4",13,2,4,NA,NA,NA,NA,NA,NA,NA,NA
1538,FALSE,"Antilocapra americana",NA,"1549","Animalia","Chordata","Mammalia","Artiodactyla","Antilocapridae","Antilocapra","americana","Pronghorn",547,547,235,91,2,1,365,3000,8900,0.0083,"671","captivity","medium","acceptable",NA,NA,50.973,34779.3,311.15,"3,642,043,444,145,550,000,000,000,000,000,000,000,000,000,000",NA,47450.01,NA,1310,NA,365,8960,32000,2,NA,247.99,1,8.05,9.53,365,1.93,1,144,3454.7,NA,0.82,1000,534.68,12,NA,1,1,87.54,9662,NA,"511;519;543;730;764;1297;1404;1573;1763;1822;1848;2167;2655;2718;2986",NA,NA,NA,NA,2009745.94,51.37,23.04,37.21,-95.02,-121.25,-108.14,0,6.77,0,0.05,29.88,90.76,435.07,870.35,15.5,46100,NA,NA,15.5,46100,1.4986301369863,NA,"Antla",12,"4.10.1",4,10,1,0.03125,0.0379269504027515,0,0,0,0,0,0
1539,TRUE,"Addax nasomaculatus","Addax","1550","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Addax","nasomaculatus","Addax",1065,NA,282,198,1,1,355,5600,NA,NA,"671","captivity","large","high",NA,NA,NA,NA,NA,"434,455,538,610,671,000",1,96077.36,NA,NA,NA,1066.86,NA,NA,5,NA,262.74,1,NA,NA,360,1,NA,308.04,5633.76,NA,NA,61.25,NA,12.62,4,1,1,NA,NA,NA,"511;543;899;1297;1525;1848;2655;2693",NA,1.1,NA,NA,1168708.88,26.45,14.6,20.52,32.63,-16.77,7.93,0,1.49,0,0.08,5.51,264.48,130.78,1382.39,28,92500,NA,NA,28,92500,2.91780821917808,NA,"Adn",25.67,"4.1.1",4,1,1,0.0357142857142857,0.0616241063653447,0,0,0,0,0,0
1540,TRUE,"Aepyceros melampus","Impala","1551","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Aepyceros","melampus","Impala",456,395,198,167,1,1,365,5550,15900,0.0043,"671","captivity","large","high",NA,NA,NA,NA,NA,"4,344,556,106,716,760,000,000,000,000",3,52591.69,NA,1420,NA,730,NA,NA,2,NA,196.74,1,1.97,2.36,365,0.98,NA,213,5238.4,NA,13.36,NA,498.97,15.25,4,1,1,150,14563.8,NA,"543;730;854;869;1297;1525;1573;1763;1848;2338;2620;2629;2655;2693;3057",NA,1.1,NA,NA,3926868.66,2.58,-28.42,-12.91,40.84,11.71,26.27,0,37.6,1,0.15,73.05,216.36,841.64,1480.32,25.6,52500,NA,NA,25.6,52500,1.16575342465753,NA,"Apym",17.75,"4.1.2",4,1,2,0.0573248407643312,0.141181814031826,0,0,0,0,0,0
