"var","Coef.BatMyotisSkin.Sqrt","Coef.BatPhyllostomusSkin.Sqrt","Coef.BatPteropusSkin.Sqrt","Coef.Antrozous.pallidus_Skin.Sqrt","Coef.Carollia.perspicillata_Skin.Sqrt","Coef.Cynopterus.brachyotis_Skin.Sqrt","Coef.Desmodus.rotundus_Skin.Sqrt","Coef.Eidolon.helvum_Skin.Sqrt","Coef.Eptesicus.fuscus_Skin.Sqrt","Coef.Leptonycteris.yerbabuenae_Skin.Sqrt","Coef.Molossus.molossus_Skin.Sqrt","Coef.Myotis.lucifugus_Skin.Sqrt","Coef.Myotis.myotis_Skin.Sqrt","Coef.Myotis.vivesi_Skin.Sqrt","Coef.Phyllostomus.discolor_Skin.Sqrt","Coef.Phyllostomus.hastatus_Skin.Sqrt","Coef.Pteropus.hypomelanus_Skin.Sqrt","Coef.Pteropus.poliocephalus_Skin.Sqrt","Coef.Pteropus.pumilus_Skin.Sqrt","Coef.Pteropus.rodricensis_Skin.Sqrt","Coef.Pteropus.vampyrus_Skin.Sqrt","Coef.Rhinolophus.ferrumequinum_Skin.Sqrt","Coef.Rhynchonycteris.naso_Skin.Sqrt","Coef.Rousettus.aegyptiacus_Skin.Sqrt","Coef.Saccopteryx.bilineata_Skin.Sqrt","Coef.Tadarida.brasiliensis_Skin.Sqrt","Coef.BatSkin.Sqrt"
"(Intercept)",5.40892013005003,2.62298595438,4.87796979312625,3.88421676044262,-0.580871327638043,3.38596614482622,5.9229350121674,0.893646075223346,3.79678940314157,5.38468799917542,1.73715311755081,5.67251290549849,5.47156128871505,4.75013443157234,2.8697566408508,2.4624245461108,3.29903245817598,3.70054759187909,3.77992987171629,3.56425549150367,1.95662799228821,7.99435888912637,5.58837360407878,3.51214627636169,2.42306613289439,0.91470188408393,7.31192438463518
"cg08938156",0.142828783226429,NA,0.532046199785881,0.48197650042612,NA,NA,NA,0.318086403725687,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465986494666378,0.073149043957001,0.677334922980051,0.845514468979544,NA,NA,NA,NA,NA,0.274603201918656
"cg19981759",NA,0.0275158274233008,0.269398040187873,0.3423898301032,NA,NA,NA,0.312571231140446,NA,NA,NA,NA,NA,NA,0.101026980414287,NA,0.119274470518259,0.245674704814263,0.130335757514417,NA,0.0109076667272564,NA,NA,NA,NA,NA,0.423222653884874
"cg01603001",0.243241435105519,0.169715599351517,NA,NA,NA,NA,NA,NA,NA,0.186827140870796,0.0780379916202967,NA,NA,NA,0.15939722789074,NA,0.7646989801925,NA,NA,NA,0.325490401880119,NA,NA,NA,NA,NA,0.504743015923046
"cg12053353",-0.0299492024593864,NA,NA,NA,NA,NA,NA,NA,NA,-0.0443780954873938,NA,NA,-0.136377898072388,NA,NA,NA,-0.0177908257634189,NA,NA,NA,NA,-0.410874915851897,NA,NA,NA,NA,-0.00098156072626319
"cg09276953",0.0902839052556826,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0672524527388969,NA,0.417431643170124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0487759977290437
"cg19314788",-0.289136523225974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.156666769044058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.174818970409491
"cg11728741",NA,0.654333354752541,NA,0.430177536001309,NA,NA,NA,0.624036790927085,0.10775830674492,NA,NA,NA,NA,NA,0.439561345428485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281818774728202
"cg06330691",NA,0.541180047481076,NA,NA,NA,NA,0.588544017676571,NA,NA,NA,NA,NA,NA,NA,NA,0.258279232113596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158608792784229
"cg08563010",NA,-1.23308223557147,NA,NA,NA,NA,-0.747441842729638,NA,NA,NA,NA,NA,NA,NA,-0.312891249687778,-0.470143534456985,NA,NA,-0.0528811435733042,NA,NA,NA,NA,NA,NA,NA,-0.117744634500192
"cg11672180",NA,0.583304646894929,NA,NA,NA,NA,NA,NA,NA,NA,0.819923411240908,NA,NA,NA,NA,1.32841174961093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.790432591078999
"cg20425337",NA,0.112025808210931,NA,NA,NA,NA,0.506511427403162,NA,0.558612286182641,NA,NA,NA,NA,NA,0.356096614518023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177839971431527,NA,0.113184741884234
"cg07254032",NA,NA,1.02081817981596,NA,NA,NA,NA,NA,0.404617984645557,NA,NA,NA,NA,NA,NA,NA,1.20849564894264,1.76401463634476,NA,0.0816450431223813,0.263674593648884,NA,NA,NA,NA,NA,0.0125641824789572
"cg06715092",NA,NA,0.369113968844859,NA,NA,NA,NA,0.15009338032869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38040992834894,0.116874701010614,NA,NA,NA,NA,NA,NA,1.94637124722163
"cg09942248",NA,NA,0.810227616521051,0.883481291318935,NA,NA,NA,0.28912193428587,NA,NA,NA,NA,NA,NA,NA,NA,0.0385477783556817,NA,0.218882788688709,NA,0.142037350169461,NA,NA,NA,NA,NA,0.646357244828515
"cg16839209",NA,NA,0.854121011205552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0141611706928186,NA,NA,NA,NA,NA,0.211311756782762
"cg20294993",NA,NA,0.172956786477075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.070495327604189,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456939045986475
