var,Coef.BaboonPanTissue,Coef.BaboonAdipose,Coef.BaboonBrain,Coef.BaboonCortex,Coef.BaboonLiver,Coef.BaboonMuscle,Coef.BaboonHeart,Coef.HumanBaboonAgeLogLinear,Coef.HumanBaboonRelativeAge,Coef.PrimateClockSqrt,Coef.PrimateRelativeAge,Coef.LemurMultiTissue,rep..Homo_sapiens.hg19...dim.datAnnotation...1...,CGid,SYMBOL,GeneRegionID,seqnames,CGstart,CGend,width,strand,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,ENTREZID,transcriptId,distanceToTSS,ENSEMBL,GENENAME,flank_txIds,flank_geneIds,flank_gene_distances,genic,Intergenic,Promoter,fiveUTR,threeUTR,Exon,Intron,downstream,distal_intergenic,main_Categories,CpGislandseqnames,CpGislandstart,CpGislandend,CpGislandwidth,CpGislandstrand,CpGislandlen,CpGislandcount,CpGislandgc,CpGislandoe,CpGislandden,CpGislandpvalue,CpGisland,stackHMM,repeatElements
(Intercept),-5.805574688,48.69819637,2.342543204,88.5807409,7.634630856,33.6568316,4.380801473,14.06923227,1.619028224,6.360833456,0.004156907,4.318326477,Homo_sapiens.hg19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cg12841266,NA,NA,NA,NA,NA,NA,NA,0.007170135,NA,1.410667177,0.236842995,9.816264872,Homo_sapiens.hg19,cg12841266,LHFPL4,LHFPL4_Exon,chr3,9594093,9594094,51,-,"Exon (uc003bry.3/375323, exon 2 of 4)",3,9540045,9595486,55442,2,375323,uc003bry.3,1343,ENSG00000156959,LHFPL tetraspan subfamily member 4,uc003bry.3,375323,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,3,9593979,9594520,542,*,542,53,0.688191882,0.862642643,0.097785978,5.81E-36,CpGisland,BivProm2,NA
cg04998737,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709377148,0.314982757,15.73245153,Homo_sapiens.hg19,cg04998737,OTP,OTP_Promoter,chr5,76941228,76941229,50,-,Promoter (6-7kb),5,76924537,76934522,9986,2,23440,uc003kfg.3,-6756,ENSG00000171540,orthopedia homeobox,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BivProm1,NA
cg14556683,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075257097,0.036851046,3.116730997,Homo_sapiens.hg19,cg14556683,EPHX3,EPHX3_fiveUTR,chr19,15342982,15342983,51,-,Promoter (<=1kb),19,15337730,15343231,5502,2,79852,uc002nap.3,199,ENSG00000105131,epoxide hydrolase 3,uc002nap.3;uc002naq.3,79852;79852,0;0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,fiveUTR,19,15342716,15343200,485,*,485,64,0.727835052,0.996788696,0.131958763,1.82E-52,CpGisland,BivProm1,NA
cg17357006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406294909,0.01527008,5.420310701,Homo_sapiens.hg19,cg17357006,VTI1A,VTI1A_Intron,chr10,114298193,114298194,50,-,"Intron (uc001kzy.3/143187, intron 5 of 7)",10,114206756,114578504,371749,1,143187,uc001kzz.3,91439,ENSG00000151532,vesicle transport through interaction with t-SNAREs 1A,uc001kzy.3;uc001kzz.3,143187;143187,0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tx7,NA
cg01037009,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051058102,NA,0.775969665,Homo_sapiens.hg19,cg01037009,UNCX,UNCX_Intergenic_downstream,chr7,1278747,1278748,50,+,Distal Intergenic,7,1272654,1276613,3960,1,340260,uc011jvw.2,6044,ENSG00000164853,UNC homeobox,uc011jvw.2,340260,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ReprPC1,NA
cg11201611,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016096831,NA,1.214555636,Homo_sapiens.hg19,cg11201611,MIR219A2,MIR219A2_Promoter,chr9,131155739,131155740,50,+,Promoter (<=1kb),9,131154897,131154993,97,2,407003,uc004bux.1,-697,ENSG00000284185,microRNA 219a-2,uc022boi.1;uc004bux.1;uc004buv.3;uc011may.2;uc031tfg.1;uc031tfh.1,100616335;407003;81605;81605;81605;81605,0;0;22092;22092;22092;22092,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,9,131155314,131155944,631,*,631,68,0.721077655,0.829364466,0.107765452,5.18E-49,CpGisland,BivProm3,NA
cg15580396,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24504976,NA,-0.585789364,Homo_sapiens.hg19,cg15580396,ZNF521,ZNF521_Intron,chr18,22810982,22810983,50,+,"Intron (uc002kvk.2/25925, intron 3 of 7)",18,22641888,22932214,290327,2,25925,uc002kvk.2,121181,ENSG00000198795,zinc finger protein 521,uc002kvk.2;uc002kvl.2;uc010dly.2;uc010xbe.1,25925;25925;25925;25925,0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EnhA3,NA
cg05589845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026185352,11.00260508,Homo_sapiens.hg19,cg05589845,EVX1,EVX1_fiveUTR,chr7,27282444,27282445,50,+,Promoter (<=1kb),7,27282164,27286192,4029,1,2128,uc003szd.1,231,ENSG00000106038,even-skipped homeobox 1,uc003szd.1;uc010kuy.1;uc011jzn.1,2128;2128;2128,0;0;0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,fiveUTR,7,27282426,27282598,173,*,173,19,0.705202312,0.925394144,0.10982659,3.13E-14,CpGisland,BivProm1,NA
cg17338403,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000472481,-0.003974123,NA,Homo_sapiens.hg19,cg17338403,SLCO3A1,SLCO3A1_Promoter,chr15,92395836,92395837,51,+,Promoter (1-2kb),15,92396938,92709137,312200,1,28232,uc002bqx.2,-1102,ENSG00000176463,solute carrier organic anion transporter family member 3A1,uc002bqx.2;uc002bqy.2;uc010boc.1;uc002bqz.1,28232;28232;28232;28232,0;0;0;0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PromF2,NA
