"var","Coef.Universal3_Age.LogLinearRelAdult","Coef.Universal2_RelativeAge","Coef.CHR","Coef.bp_hg38","Coef.Gene","Coef.Gene.hg19","Coef.ENTREZID","Coef.conservationInMouse","Coef.GeneRegionID","Coef.annotation","Coef.CHR_mm10","Coef.bp_mm10","Coef.Gene_mm10"
"(Intercept)",-6.356772178,-1.911376417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg08938156",0.663271652,0.210579727,"3",147409417,"LOC440982","ZIC1",440982,"mapped to different gene in human and mouse","LOC440982_fiveUTR","5' UTR","9",91365746,"Zic1"
"cg15168457",0.766234115,0.230283185,"12",111516347,"ATXN2","ATXN2",6311,"conserved gene and region in mouse and human","ATXN2_Exon","Exon (ENST00000642389.2/6311, exon 10 of 27)","5",121781348,"Atxn2"
"cg20370622",0.5491911,0.250081581,"4",41748222,"PHOX2B","PHOX2B",8929,"conserved gene and region in mouse and human","PHOX2B_Promoter","Promoter (<=1kb)","5",67098553,"Phox2b"
"cg27593991",-0.369411124,-0.088300422,"18",55587081,"TCF4","TCF4",6925,"conserved gene but different region in human and mouse","TCF4_fiveUTR","5' UTR","18",69347333,"Tcf4"
"cg02692845",-0.490593662,-0.114387436,"3",181712998,"SOX2-OT","SOX2-OT",347689,"mapped to different gene in human and mouse","SOX2-OT_Exon","Exon (ENST00000325404.3/6657, exon 1 of 1)","3",34651059,"Sox2"
"cg03679521",0.282266721,0.401910668,"17",39607900,"NEUROD2","NEUROD2",4761,"conserved gene and region in mouse and human","NEUROD2_fiveUTR","Promoter (<=1kb)","11",98329605,"Neurod2"
"cg11700079",0.358728283,0.150266491,"5",171310377,"TLX3","TLX3",30012,"conserved gene and region in mouse and human","TLX3_Exon","Exon (ENST00000296921.6/30012, exon 2 of 3)","11",33202444,"Tlx3"
"cg10501210",-0.277377634,-0.363250509,"1",207823675,"MIR29B2CHG","LOC148696",100128537,"mapped in human, not mapped in mouse","MIR29B2CHG_Intron","Intron (ENST00000608023.5/100128537, intron 2 of 4)",NA,NA,NA
"cg26844246",0.160138445,0.208010479,"5",171309273,"TLX3","TLX3",30012,"conserved gene and region in mouse and human","TLX3_fiveUTR","Promoter (<=1kb)","11",33203551,"Tlx3"
"cg04889095",0.222007631,0.116838767,"12",8773554,"RIMKLB","RIMKLB",57494,"conserved gene and region in mouse and human","RIMKLB_Exon","Exon (ENST00000357529.7/57494, exon 7 of 7)","6",122456429,"Rimklb"
"cg13532184",0.289516582,0.050780143,"12",56118310,"ESYT1","ZC3H10",23344,"mapped to different gene in human and mouse","ESYT1_fiveUTR","Promoter (<=1kb)","10",128547701,"Zc3h10"
"cg26603143",-0.72555414,-0.077328235,"6",21597740,"SOX4","SOX4",6659,"conserved gene and region in mouse and human","SOX4_threeUTR","3' UTR","13",28949874,"Sox4"
"cg06482098",-0.069266116,-0.001129016,"5",11384925,"CTNND2","CTNND2",1501,"conserved gene and region in mouse and human","CTNND2_Exon","Exon (ENST00000304623.13/1501, exon 7 of 22)","15",30647063,"Ctnnd2"
