"var","Coef.AxolotlN131.Log2","Coef.AxolotlN131LimbTail.Log2","Coef.AxolotlN131Limb.Log2","Coef.AxolotlN131Tail.Log2","Coef.AxolotlN131EarlyLife.Log2","Coef.AxolotlN131EarlyLifeLimbTail.Log2","Coef.AxolotlN131EarlyLifeLimb.Log2","Coef.AxolotlN131EarlyLifeTail.Log2","Coef.AxolotlN131LaterLife.Log2","Coef.AxolotlN131LaterLifeLimbTail.Log2","Coef.AxolotlN131LaterLifeLimb.Log2","Coef.AxolotlN131LaterLifeTail.Log2","Annotation.Name","SYMBOL","GeneRegionID","seqnames","probeStart","probeEnd","width","strand","CGstart","CGend"
"(Intercept)",-7.4902493860484,-3.69299106486059,1.36047297970493,4.60313849465258,0.984871867041158,-1.18644021745752,3.08591693080659,3.1028915053649,2.01069695892347,2.12345440484089,1.39696647932801,2.21149745189702,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg14907557",NA,-0.0299147792289346,NA,-0.77941831866939,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg17880536",NA,NA,NA,NA,-0.0962617966551666,NA,NA,NA,NA,NA,-0.0622425757087668,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg07026794",NA,NA,-1.09297607712127,NA,NA,NA,NA,NA,NA,NA,-0.462656226411728,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg01914744",-0.0177543068428106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg18063694.2",NA,-0.792449604538579,NA,-8.41099148834206,NA,NA,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg10402101",NA,NA,NA,NA,0.207271867032762,0.0512188036914176,NA,NA,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg01140958",0.358659874301452,0.529793624932056,NA,0.552220586002438,0.543214586759103,0.402197413074902,NA,0.404332423734139,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13163842",0.219293355321729,NA,NA,NA,NA,0.192268171296962,NA,0.0980893574159071,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg25258174",NA,NA,NA,NA,0.09479133126138,0.220166866588135,NA,0.278860386350105,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg25609272",NA,NA,NA,NA,0.168126164555848,0.23504297954788,NA,0.248339432039884,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg17527148",NA,NA,NA,NA,0.18703327575537,0.0550414101717659,NA,0.327498347814611,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg01171212",NA,0.155290874827229,NA,NA,0.101694888501569,NA,NA,0.532354104011061,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg26677226",NA,NA,NA,-0.006707979712818,-0.0670223024240884,NA,NA,-3.51531689714963,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg24889477",NA,NA,NA,0.0727334229468621,NA,NA,NA,0.0149794227772968,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg21800749",NA,NA,NA,NA,NA,-0.192009237647585,NA,-0.0406216298235149,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cg13962734",NA,NA,NA,NA,NA,-0.00282814914039468,NA,-2.84057662123403,NA,NA,NA,NA,"AmbMex60DD",NA,NA,NA,NA,NA,NA,NA,NA,NA
